,体験受入法人等,代表者,所在地,ホームページ,売上高,従業員数,経営主作目・事業内容,経営理念と将来の事業展開・ビジョン,有機農業に対する考えや取り組み,作物種別,体験可能作目,体験場所,体験担当者,受入可能時期と内容,1回の受入可能期間,高校生の受入,社会人の週末等コースの受入,提供できる住居,食事提供の方法,採用計画,アクセス,自動車免許,服装など準備すべき物,登録にあたっての考え,参加者の目的で重視すること,メッセージ：どんなことを学べるか
245,（有）水谷農園,水谷　勇,愛知県稲沢市目比町,http://www.mizutani.bz/,"12,000万円",7人,バラ苗生産、卸、ネット通販、新品種育種、ローズガーデン設計・施行,社会の方々に喜ばれ、頼りにされ、感謝されるような企業を目指す,エコファーマーに認定済,バラ苗,バラ苗,,水谷勇,通年可能：バラ苗生産,2日日〜,可,可,経営者宅に間借り,その他　社員と共に給食センターよりの弁当,有,名古屋鉄道津島線青塚駅,なくても可,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,バラを愛することができる方
246,(株)オグリ牧場,小栗　道政,愛知県半田市清城町,,"48,000万円",6人,和牛の繁殖・肥育一貫経営,今後は観光教育牧場を作り、体験と学びの場を提供したいと考えている。,特に有機農業に取り組んでいない。,和牛の飼育に関する作業,和牛の飼育に関する作業,,小栗道政,通年可能：子牛の人口哺乳、牛舎の掃除、餌やり、食肉市場見学など,2日日〜,可,可,社宅・寮等,その他　自炊や外食、BBQ,有,県内の方名鉄知多半田駅、県外の方中部国際空港,必要,農作業に適した服装（長袖・長ズボン）、軍手、帽子、タオル、飲み物,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,様々なことを体験したいと考えている方
247,愛知県酪農農業協同組合,代表理事組合長　鈴木　康弘,愛知県岡崎市美合町字並松,https://tokai-rakuren.jp/blog_aichi/,"26,774百万円（グループ全体）",組合員（酪農家）255戸、職員54名,酪農専門農協,,,乳牛・肉牛,乳牛・肉牛,半田市1戸、西尾市2戸、刈谷市1戸,飯田義雄,通年可能：都市近郊酪農及び肉牛経営の全般について,10日日〜,可,不可,経営者宅に間借り,その他　経営者等家族と一緒、自炊（食費補助）,有,（名鉄）美合駅、住吉町駅、西尾駅、福地駅（各酪農家最寄り駅）,なくても可,健康保険証・マスク,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,牛が大好きで、将来牛に関わった仕事に就きたい方
248,朝霧メイプルファーム（有）,丸山　富男,静岡県富士宮市根原,http://www.maplefarm.jp/,50000万円,19人,酪農,トップレベルの酪農を目指しています,,搾乳、哺乳,搾乳、哺乳,,丸山様,通年可能,3日日〜,不可,不可,社宅・寮等,その他　1日2食、1食は自炊（食費補助）,有,新富士駅,,,従業員の確保,就職先検討,乳牛が好きな人
249,株式会社　Veggy,大西　辰幸,静岡県浜松市南区小沢渡町,http://veggy-group.com,"25,000万円（グループ合算）",40人,キャベツ、レタス、大根、白ネギ、ナス、スイートコーンなど,お客様の口に入るまでを農業と捉え、常に新しい価値を創造。,現状取り組みはない。,露地野菜（時期により異なる）,露地野菜（時期により異なる）,浜松市西区、南区、湖西市のいずれか,池谷,通年可能：主に露地野菜の栽培・監理・収穫,2日日〜,不可,可,社宅・寮等 　社宅・寮等、その他（寮に空室がない場合はビジネスホテル）,自炊（食費補助）,有,JR浜松駅,必要,長靴、雨具、手袋,従業員の確保,就職先検討,積極的な向上心のある方
250,（株）しあわせ野菜畑,大角昌巳,静岡県掛川市上西郷,http://yasai888.com/,"4,500万円",12人,有機野菜の生産直売,年間50品目の野菜を有機肥料、農薬未使用で栽培し、 宅配を使ってお客様に直接届けます。,有機ＪＡＳ認証を取得、アグリビジネスとしての有機農業を展開しています。,露地野菜（旬の野菜、約15品目　）,露地野菜（旬の野菜、約15品目　）,,大角昌巳,通年可能：露地野菜の管理、収穫、出荷調整,2日日〜,可,不可,,その他　提供なし,有,東海道新幹線ＪＲ掛川駅から公共バスで10分,必要,農作業に適した服装、長靴、雨合羽,従業員の確保,就職先検討,大学生、体育会系、男性（社宅が男性用のため）
251,（株）ソイルパッション,深川　知久,静岡県菊川市吉沢,https://www.soilpassion.jp/71164/,20000万円,16人,レタス類・ブロッコリー・枝豆,,特別栽培,全て,全て,,深川　知久,通年可能：経営作目の栽培管理・出荷調整,1週間〜,可,可,社宅・寮等,自炊（食費補助）,有,菊川駅、菊川IC、静岡空港,,,農業体験・理解者の増加,農業体験、就職先検討,農業を楽しめる方
252,（株）農健,砂川　利広,静岡県磐田市長須賀,http://noken-iwata.co.jp/,6，700万円,10人,水稲、露地野菜,,,水稲、野菜,水稲、野菜,,砂川　寛治,通年可能：水稲、野菜管理,2日〜,可,,経営者宅に間借り,経営者等家族と一緒,無,JR磐田駅,,,農業体験・理解者の増加,農業体験、就職先検討,水稲、野菜の栽培管理の一端に触れていただきたいと思います。※コロナの影響により受入できない場合もあります。
253,（株）パシオス,上村　光太郎,静岡県磐田市豊田,https://passios.jp/,19700万円,35人,アスパラガス・キャベツ・たまねぎ・スティックセニョール・ブルーベリー,働く仲間と地域を豊かにする,実施していない,アスパラガス・キャベツ・たまねぎ・ブルーベリー（時期・作業状況による）,アスパラガス・キャベツ・たまねぎ・ブルーベリー（時期・作業状況による）,,上村　遊輝,農繁期：8～9月、12～3月,8日日〜,不可,可,社宅・寮等,自炊（食費補助）,有,豊田駅,必要,,,就職先検討,前向きな方、素直な方
254,（株）伊賀の里モクモク手づくりファーム,松尾　尚之,三重県伊賀市西湯舟,http://www.moku-moku.com,"550,000万円",300人,米、いちご、トマト、しいたけ,１次産業×2次産業×3次産業を自ら行う6次産業の経営,低農薬、有機栽培、一部無農薬有,農業、ものづくり、農業公園内での接客等,農業、ものづくり、農業公園内での接客等,,井上、高森,4月～7月、9月中旬～12月：農業、トマトの収穫、ものづくり、ハム、パン、ビール製造、園内－店、レストラン、体験教室の補助,10日日〜,不可,不可,社宅・寮等,その他　朝食・レストラン、昼食・社員食堂、夜食・お弁当,有,JR柘植駅,,農作業に適した服装（チェックシャツ、ジーンズ）,農業体験・理解者の増加,農業体験、就職先検討,健康で真面目な方
255,伊賀ベジタブルファーム（株）,村山　邦彦,三重県上野市古山界外,http://iga-vegetable.jp,"1,200万円",5人,トマト、小松菜、ブロッコリーなど、野菜の生産及び販売、卸売、コンサルティング、農業技術の研究開発,「食」を通じていのちを豊かにする社会基盤づくり,持続性と多様性に配慮し、学び続ける姿勢を重視する,有機野菜（露地、施設）,有機野菜（露地、施設）,,村山邦彦／大塚恵理子,通年可能：野菜の栽培管理及び出荷作業,2日日〜,可,可,社宅・寮等,その他　自炊（食材提供）、その他（お昼は全員一緒に食べます）,有,近鉄大阪線伊賀神戸駅,,農作業に適した服装、長靴、雨合羽,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,何事にも自分ごととして向き合い、主体的に行動できる人
256,（株）かきうち農園,垣内　清明,三重県南牟婁郡御浜町大字阿田和,https://www.kakiuchinouen.com/,6300万円,11人,柑橘の生産及び販売,世界に通用する農業を目指します。,人にも環境にも優しい農業を,柑橘、野菜,柑橘、野菜,,垣内清明,通年可能：柑橘の栽培及び収穫・出荷作業,2日日〜,不可,可,その他　当社で用意します,自炊（食費補助）,有,車,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農業の好きな方
257,（有）木曽岬農業センター,古村　精康,三重県桑名郡木曽岬町和泉,http://www.kisosaki-fc.com,"39,475万円",15人,主に米の生産から販売まで,安心・安全・おいしいお米,良いと思うが行っていない,米・麦,米・麦,,古村精康,4～5月（田植）、8～10月（稲刈）,2日日〜,可,不可,社宅・寮等,経営者等家族と一緒,有,弥富駅（近鉄・JR）,必要,長靴・手袋（軍手・ゴム手袋）,従業員の確保,就職先検討,真面目・行動力のある人
258,（株）古御門ライス,古御門　侑,三重県松阪市八重田町,,"30,000万円",30人,ハウス野菜（トマト･キヌサヤ・いちご・小松菜）、露地野菜（ナス・キャベツ・カリフラワ）、田圃23ha,自社農場の野菜を使用した、レストランの展開をしていきたいです,今後取り込みたいと考えています,全般,全般,相談に応じます,古御門　侑,通年可能,2日日〜,可,可,,その他　コンビニで買ってください,無,松阪駅、車→インターに近い,必要,農作業に適した服装（長袖）、他会社で用意する予定。,その他　人手不足,その他　特になし,意欲的で生物に愛着心があり、めげない、しょげない、挑戦的な方
259,（有）ドリームファームスズカ,吉澤　道彦,三重県鈴鹿市柳町,http://www.dreamfarm.info/,"5,000万円",10人,水稲、観葉植物、飼料作物,持続可能な農業を続け、後世に農地と技術を残し伝えていく。,耕畜連携を進めており、堆肥での土づくりに注力している,経営作目全て,経営作目全て,,尾和明洋,8～9月・12～2月／8月～9月：米の収穫調整作業・トウモロコシの収穫、12月～2月：野菜収穫作業、農繁期：4～5月,2日日〜,可,可,社宅・寮等,その他　経営者等家族と一緒、または自炊（食材提供・食費提供）,有,近鉄鈴鹿線　柳駅より徒歩5分,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,心身共に健康な方
260,（有）類農園　三重農場,長谷　暢二,三重県度会郡度会町下久具,http://ruinouen.rui.ne.jp/,"70,000万円",15人,年間約30品目の有機野菜の生産・販売、直売所の経営（大阪に2店舗）,都市と農村をつなぐ。農の再生、地域の再生,農薬や化学肥料に頼らない持続可能な農業が、日本の農地を守ることにつながると考えます。,水稲、お茶、野菜等,水稲、お茶、野菜等,,小松　由布樹,通年可能：土づくり、野菜の栽培管理、収穫、調整,2日日〜,可,不可,社宅・寮等,経営者等家族と一緒,有,近鉄山田線伊勢市駅よりバス,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,周りと協力しながら、前向きに課題に取り組める方
261,ぐるり農園,小山　高人,三重県伊賀市種生,https://note.mu/gururi_farm,400万円,2人,水稲、露地野菜,地域資源を活用した持続可能な循環型農業,多品目野菜のすべてと水稲の一部を、農薬と化学肥料を使用せずに栽培している。,野菜、米,野菜、米,,小山高人（こやまたかと）、小山萌愛（こやまもえ）,通年可能/4～12月：野菜作り、米作り、販売、1～3月：その時期に応じた作業、農繁期：4～12月,2日〜,可,可,経営者宅に間借り,経営者等家族と一緒,有,近鉄青山町駅（車でお迎え有）,なくても可,長靴、手袋、作業着,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農家実習を通じて、自主的に学ぶ意欲のある人材を求めます。
262,（有）クサツパイオニアファーム,奥村　次一,滋賀県草津市馬場町穴虫,http://pioneerf.co.jp/,"10,000万円",14人,水稲、麦、大豆、赤しそ、ホウレンソウ等,私たちは恒久的に続く農業技術を追求し、三歩先ゆく先駆者としてあり続けます。五感を刺激する農業。,約50haの全面有機栽培。,水稲、野菜,水稲、野菜,,中山　欽司,5～8月／5月～6月：田植え、草刈等、6月～8月：野菜、草刈、田の仕事、農繁期：5月～6月、9月～10月,2日日〜,可,可,,その他　昼食のみ,無,草津駅とバス,,農作業に適した服装,従業員の確保,就職先検討,素直、体力がある人
263,小澤農園（株）,小澤（こざわ）　一磨,滋賀県伊香郡高月町東柳野,http://kozawa-farm.com,非公表,7人,米、麦、大豆、こんにゃく芋、自然薯,美味しいお米作りと高収益の見込める他作物の栽培を通した地域雇用の創出,自然薯に適用しています,すべて（時期による）,すべて（時期による）,,山岡,5～6月・9～12月／5月～6月：田植え、麦の刈取り、こんにゃく芋の植え付け、自然薯植え付け、9月～10月：稲刈り、こんにゃく芋の収穫、11月～12月：こんにゃく芋、自然薯の収穫,2日日〜,可,不可,その他　近くで民泊（JR長浜）,その他　昼食は提供、朝夕は食費補助,有,ＪＲ北陸線高月駅より車で５分,,農作業に適した服装、長靴、手袋,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,
264,（株）多賀農産,多賀　正和,滋賀県長浜市野村町,http://www.taganousan.com/,7000万円,4人,米・麦・大豆、生産販売,地域に根差した農業,,米,米,,多賀　正和,通年可能：米作り、管理作業,2日日〜,不可,不可,その他　近くのアパート等か空屋,自炊（食費補助）,有,,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,コツコツと何事にも真面目に取り組めること
265,（有）成田牧場,成田　牧彦,滋賀県甲賀市甲南町新治,https://narita-fureai.net/,非公表,非公表,酪農,,,酪農,酪農,,,,2日日〜,可,可,経営者宅に間借り,,,,,,,,
266,（株）みやもと農園,宮本　圭一郎,滋賀県近江八幡市西庄町,http://miyamoto-noen.com,"3,000万円",6人,野菜の多品目と直接販売（6次ナビ認定）,オンリーワンの小さくて強い品質勝負の会社,全て特別栽培であるが、有機のこだわりはこだわらない,その時々の野菜（10品目程度）,その時々の野菜（10品目程度）,,宮本圭一郎,通年可能：野菜の栽培管理、収穫、出荷等。全日可,2日日〜,可,可,社宅・寮等 　社宅・寮等、経営者宅に間借り※会社・寮ともに全面禁煙,その他　経営者家族と一緒、自炊(食材提供or食費補助),有,JR近江八幡駅北口より徒歩25分(タクシー5分),必要,,従業員の確保,就職先検討,あきらめない、会話ができる、途中で投げ出さない
267,（有）るシオールファーム,今井　敏,滋賀県甲賀市水口町北脇,,"18,000万円",14人,水稲、麦、大豆、花、野菜、果樹,全ての農産物を直接お客様に売っていく,滋賀県環境こだわりに取り組む,全て,全て,,今井　敏,通年可能：農産物の生産補助,2日日〜,可,可,経営者宅に間借り,経営者等家族と一緒,無,JR三雲駅,必要,,農業体験・理解者の増加,農業体験,農業という仕事にプライドを持つ人
268,（有）アグリランドさんとよ,三浦　剛,京都府京丹後市峰山町丹波,https://blog.goo.ne.jp/aguri11,6500万円,1＋6＋4(ﾊﾟｰﾄ)人,水稲、水稲苗、野菜・花苗、九条ネギ、白ネギ、直売所野菜,全てに一番を目指すと共に、地域農地を守っていく,現時点では取り組みは考えていませんが、有機化学肥料を主に使用しています。,水稲、九条ネギ、白ネギ、小豆,水稲、九条ネギ、白ネギ、小豆,,三浦　剛,通年可能：九条ネギの出荷、3～10月：水稲の播種から刈り取り出荷まで、4～12月：白ネギの定植から出荷まで、6～11月：小豆の播種から収穫まで、農繁期：2～5月,3日日〜,可,可,経営者宅に間借り　経営者宅に間借り、借家,その他　外食や自炊,有,京都丹後鉄道峰山駅より徒歩5分,必要,長靴、雨合羽、手袋、水筒,農業体験・理解者の増加、従業員の確保、体験生の確保,就職先検討,将来にわたり、農業に関わっていきたい方。農業大好き人間
269,（有）あっぷるふぁーむ,山本　雅己,京都府与謝郡与謝野町字滝,http://www.kyt-net.jp/applefarm,"13,000万円",25人,施設野菜、露地野菜、採種、水稲、大豆、畜産、等々,農業全般を営む、ここにしかない現代版百姓を目指す,自然循環型農業に取り組んでいる。,野菜・水稲・果樹,野菜・水稲・果樹,,,4月～11月：農作物の管理収穫作業。,2日日〜,可,可,経営者宅に間借り　経営者宅に間借り、その他（地域にある学生活動拠点地域）,経営者等家族と一緒,有,与謝野駅（京都丹後鉄道）,,農作業に適した服装、雨合羽、長靴、手袋,農業体験・理解者の増加,農業体験、就職先検討,
270,京和あずま（株）,東　周作,京都府相楽郡和束町門前宮野,http://www.azuma-tea.com/kyowa/profile.html,"5,000万円",6人,宇治茶の栽培・加工・販売及び輸出,6次産業・輸出拡大,有機加工施設と一部の茶畑は有機JAS取得済,お茶の収穫・加工及び茶園の管理作業等,お茶の収穫・加工及び茶園の管理作業等,,金井　隆史,3～6月・9～11月／3月～6月：春茶の収穫・加工、9月～11月：茶園の管理作業及び秋茶の収穫・加工,2日日〜,可,可,経営者宅に間借り,,有,JR加茂駅,,農作業に適した服装（できれば地下足袋）,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農業を誇りに思って野外の作業に耐えられる方
271,こと京都(株),山田　敏之,京都府京都市伏見区横大路下三栖里ノ内,https://www.kotokyoto.co.jp,"120,000万円",153人,九条ねぎ生産加工販売,農業生産法人として人・自然に感謝し、心豊かに社会貢献します。若い農業者を育み、京都の農業の活性化を目指します。,生産：JGAP認証取得済み、加工：京・食の安全衛生管理認証取得,九条ねぎ,九条ねぎ,こと京都(株)向島工場,宮川光太郎,通年可能：九条ねぎの収穫・農作業,2日日〜,可,可,その他　ホテルを手配,自炊（食費補助）,有,近鉄京都線向島駅,,農作業に適した服装、長靴、雨具、水筒、手袋、タオル,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,農業に関心があり、京野菜を育ててみたいとお考えの方
272,（株）西陣屋,田中　武史,京都府亀岡市宮前町神前下長野,http://www.nisijinya.com/,"12,000万円",10人,九条葱（生産～加工・出荷まで）,安心と安全の.追求を目指して、私たちは農業を通じて社会貢献致します。現在の1.2億の売上を安定させ、５年後売上５億を目指すために雇用拡大をしていく。,減農薬・減化学肥料で栽培,九条葱,九条葱,,,通年可能：収穫、定植、うね立て、農繁期：7月～9月,2日日〜,可,可,,その他　昼食費補助（日額500円）,有,ＪＲ千代川駅徒歩30分なので車、バイク歓迎,,農作業に適した服装、長靴、雨合羽、タオル,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,やる気のある方
273,（株）マイファーム,西辻　一真,京都府京都市下京区東塩小路町,http://www.myfarm.co.jp,"90,000万円",141人,貸し農園、農業学校、レストラン、八百屋など,自産自消ができる社会を創る,貸し農園はすべてオーガニック,多品目,多品目,神奈川県、東京都,西辻一真,通年可能：農体験、小売り体験など,5日日〜,,,,,有,実習場所により異なる,,ガイダンスにより伝達,体験生の確保,,素直・勤勉・積極的
274,（株）味歩里,牧　晴喜,京都府福知山市牧小字神谷,,"5,500万円",12人,農業受託業務・水稲・小麦・大豆・小豆・ネギ・きゅうり・ライスセンター業務,若い農業経営者の創出,畑について検討中,体験時期により可能作業・作目は変わる,体験時期により可能作業・作目は変わる,会社管理地内と配達先,塩見　寿人,通年可能,2日日〜,可,不可,,その他　お弁当,有,KTR：荒河かしの木台　バス：かしの木台,必要,,体験生の確保,就職先検討,学歴は問わない・農業に真剣に取り組む心
275,（株）村田農園,村田　正巳,京都府久世郡久御山町北川顔馬嶋,,"12,000万円",23人,九条ネギ、野菜苗、京野菜,,,京野菜,京野菜,,村田　正巳,通年可能,2日日〜,可,可,,自炊（食費補助）,有,京阪電鉄　淀駅,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,
276,（株）八百一の郷（京北農場）,田中　勝三,京都府船井郡京丹波町豊田本野,http://www.kyoto-yaoichi.co.jp,"21,300万円",22人,ハウス野菜の栽培,日本の農業のモデルになる農場を目指しています。具体的には「安心安全」と「おいしさ」の追及です。,JGAP認証農場,イチゴ,イチゴ,京都府京都市右京区京北塔町,弘　敏二（ヒロ　ハンジ）,12月～7月：イチゴの栽培管理、収穫、出荷作業,4日日〜,可,不可,社宅・寮等 　社宅・寮（女性限定）等,自炊（食費補助）,有,ＪＲ京都駅まで迎えに行きます,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,高い志のある方
277,（株）八百一の郷（丹後農場）,田中　勝三,京都府船井郡京丹波町豊田本野,http://www.kyoto-yaoichi.co.jp,"21,300万円",22人,露地野菜・ハウス野菜の栽培,日本の農業のモデルになる農場を目指しています。具体的には「安心安全」と「おいしさ」の追及です。,JGAP認証農場,ハウス（水菜、春菊他）、露地（茄子、カラーピーマン、かぼちゃ他）,ハウス（水菜、春菊他）、露地（茄子、カラーピーマン、かぼちゃ他）,京都府京丹後市峰山町荒山堂山,弘　敏二（ヒロ　ハンジ）,6月～11月：ナス、カラーピーマン、春菊、金時人参等の栽培管理、出荷作業,4日日〜,不可,不可,社宅・寮等,自炊（食費補助）,有,北近畿タンゴ鉄道　峰山駅まで迎えに行きます,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,高い志のある方
278,（株）八百一の郷（丹波農場）,田中　勝三,京都府船井郡京丹波町豊田本野,http://www.kyoto-yaoichi.co.jp,"21,300万円",22人,露地野菜・ハウス野菜の栽培,日本の農業のモデルになる農場を目指しています。具体的には「安心安全」と「おいしさ」の追及です。,ＡGAP認証農場,ハウス（トマト、ハーブ類他）、露地（黒豆、ズッキーニ他）,ハウス（トマト、ハーブ類他）、露地（黒豆、ズッキーニ他）,丹波市：京都府船井郡京丹波町豊田本野,弘　敏二（ヒロ　ハンジ）,通年可能：多品種の作物の管理と収穫、出荷作業,4日日〜,可,不可,社宅・寮等,自炊（食費補助）,有,JR山陰線　園部駅まで迎えに行きます,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,高い志のある方
279,ロックファーム京都（株）,村田　翔一,京都府久世郡久御山町中島南城,,7000万円,15人,京野菜の生産・販売,経営理念（ビジョン）誰からも愛され、なくてはならないファームを築く,今後検討,九条ネギ,九条ネギ,,黒川　誠,通年可能：何でもできます！！,2日日〜,可,可,社宅・寮等,自炊（食材提供）,有,京阪淀,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,熱い人物
280,(株)美山農園,馬場　孝幸,京都府南丹市美山町盛郷忠,http://www.sagaseika.jp/miyama/miyama_nouen.html,"2,200万円",4人,品目：九条ねぎ、サラダ用野菜、夏野菜　　　 事業：観光農園・産地直送・中国での栽培,日本の食産業を盛り上げることが理念です。自社で栽培したものは、並列会社の物流と販路に乗せて販売しております。「良い野菜を手頃な値段で販売することで、食産業の発展に寄与したいです。またアジアにも事業領域を拡げ、日本の農業が海外に進出するチャンスも創出しています。,サラダ用野菜は有機栽培を行っています。,九条ねぎ、夏野菜、サラダ用野菜（水菜・小かぶなど）,九条ねぎ、夏野菜、サラダ用野菜（水菜・小かぶなど）,,馬場　孝幸、曽我　佳央,通年可能（体験内容：栽培体験、流通の仕組み、卸売市場見学など　）,2日日〜,可,可,社宅・寮等,自炊（食材提供）,,JR嵯峨野線「園部」駅より車で50分,なくても可,,その他　その他：農業の魅力や課題を多くの人に知ってもらいたい。使命感から。,農業体験、就職先検討のどちらでもよい,日本の農業が抱える問題を共に解決しようと志す者。日本の農業を牽引したいと上昇志向がある者。
281,農地所有適格法人（有）ワタミファーム(京丹後農場),西岡　亨祐,京都府京丹後市,http://www.watamifarm.co.jp,外部公表していないため非開示,外部公表していないため非公表,畑作,未来の食の安全と安心、環境を守るため、生命を循環させ、有機農業を発展させていくこと,生きている土から、生きている作物や動物から自然の恵みをいただき、それを食べることで我々も生かされている、それが生命を守る事業、生命を循環させる事業である有機農業と考えます。 私達の仕事として一番大切なのは土づくり、作物・牧草づくり・家畜の環境づくりと考えます,玉ねぎ、ニンニク、レタス、水菜等,玉ねぎ、ニンニク、レタス、水菜等,京都府京丹後市弥栄町和田野,北村（京丹後・丹波）,通年可能：玉ねぎ、ニンニク栽培、ハウス栽培,2日日〜,可,可,その他　近隣のホテル利用（インターンシップ生が手配し、自己負担。ホテルから農場への送迎あり）,その他　提供無し,有,京都丹後鉄道・峰山駅→丹後海陸交通バス・丹後峰山線 経ヶ岬方面行、弥栄病院前バス停下車　※送迎可,必要,農作業に適した服装、長靴、雨具,従業員の確保,就職先検討,自ら課題設定し、課題解決のために動く方
282,（有）杉農園,野島　郷,大阪府枚方市杉責谷,http://www.sugigohei.com,非公表,20人,有機農業の生産･加工・販売、農園レストラン,自然を生かし自然に生かされる,除草剤や農薬、化学肥料など人が食べられないものは作物にも食べさせない。,野菜、果樹（時期による）,野菜、果樹（時期による）,,ノジマ,通年可能：農作業、溶接、調理加工,2日日〜,可,可,社宅・寮等,その他　経営者等家族と一緒（3食とも用意します）,有,JR学研都市線長尾駅,なくても可,農作業に適した服装,農業体験・理解者の増加,農業体験,
283,(株)FPI,森本　幸雄,大阪市城東区新喜多,https://www.inaka-start.com/,"4,200万円",5人,地方創生コーディネーター・地方創生事業（おむすビーズ）,ひょっとしたら、農林漁畜産があなたの天職かもしれない。それを確かめにまずやってみる、行ってみる。それが私達おむすビーズ流。あなたの『？』を『！』に変えるそんなお手伝いがしたい,農的な暮らしが希望（小規模）の方や地域で受け入れられるなら実行してみてください。地域理解がないまま進めては難しいのが現状です。まずは地域を知る事から始めてみてはいかがでしょうか。,稲作、野菜、花き、果樹、畜産、養鶏、その他（林業・漁業）,稲作、野菜、花き、果樹、畜産、養鶏、その他（林業・漁業）,高知県土佐町・島根県隠岐の島町・兵庫県猪名川町,森本代表、長岡スタッフ、長谷岡スタッフ,通年可能：年3～5回の各種インターンシップ,3日日〜,不可,可,その他　町営の宿泊施設,その他　自炊,有,電車・バス・飛行機・船,,農作業に適した服装、長靴、雨具、手袋,その他　農業体験・移住就農支援,その他　農業体験・就職先検討・移住・1次産業への従事または準備,農林漁畜産業や田舎暮らしってどんなものか知りたいという検討中の方に是非おむすビーズのサービスを利用して頂きたいです。
284,イオンアグリ創造（株）兵庫三木里脇農場,福永　庸明,兵庫県三木市口吉川町里脇,http://www.aeon.jp/agricreate/,非公表,約550人,キャベツ、ダイコン、ホウレン草他,安全・安心、お手頃価格、新鮮な野菜をイオンに安定供給することでお客様満足の向上を目指しています。今後もイオン直営農場を全国に展開していきます。,一部圃場オーガニック試験栽培,キャベツ、ホウレン草他,キャベツ、ホウレン草他,,新井　正枝、吉岡　茂樹,通年可能,5日日〜,不可,可,通いのみ受け入れ、ホテル・ウイークリーマンション(長期時),その他　1日1000円の食費補助,無,JR三田駅、神戸電鉄三木駅,必要,長靴、雨合羽等の雨具、帽子、タオル、水筒,従業員の確保,就職先検討,大規模農業に関心がある方、チームで仕事ができる方
285,（有）上岩岡農芸,敦見　昌弘,兵庫県神戸市西区岩岡町岩岡,,"6,000万円",8人,イチゴ、イチジク、キュウリ、ホウレンソウ,高品質、高所得を求めて,有機については土壌改良としての視点でしか考えていない,季節による,季節による,,敦見　昌弘,通年可能,2日日〜,不可,可,,その他　昼食持参でお願いします。,有,JR山陽本線大久保駅・神姫バス上岩岡バス停下車徒歩10分,,農作業に適した服装（長袖）、長靴,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,
286,（株）キャルファーム,大西　雅彦,兵庫県神戸市西区岩岡町印路,http://calfarm-kobe.com/,"2,900万円",5人,トマト、ミニトマト、イチゴ、アスパラガス、その他露地野菜,土を作り、人を作り、未来を創ることで農業を改革していきます。,有機農業の比率を年々増加させています。,全て,全て,,大西　雅彦,通年可能：トマト、ミニトマト、イチゴ、アスパラガスは周年、露地野菜もほぼ周年,2日日〜,可,可,経営者宅に間借り,その他　自炊（食材補助）,無,JR大久保駅→路線バス→徒歩or自家用車も可,,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,自分の考えを持ち、コミュニケーションが取れる人
287,農事組合法人　丹波たぶち農場,田渕　清彦,兵庫県篠山市口阪本,https://www.tabuchi-farm.jp,非公表,12人,水稲、黒大豆、小豆、いちご栽培　黒枝豆狩り、いちご狩り、観光農園,生産者と消費者の顔の見える農業,G-GAPや有機JAS資格取得に向けて取り組んでいる,水稲、黒大豆、イチゴ,水稲、黒大豆、イチゴ,,,通年可能：水稲、黒大豆、小豆、イチゴ　農繁期：9月～10月,5日日〜,可,可,その他　時期により変わります,その他　時期により変わります,有,JR福知山線　篠山口駅,,,農業体験・理解者の増加,農業体験,農業に興味のある方
